 Total Nb of available Diagnostics: ndiagt=   431
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    99 |TOTVTEND|100 |    98 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTTTEND|100 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
   101 |TOTSTEND|100 |       |SMR     MR|g/kg/day        |Tendency of Salinity
   102 |MoistCor|100 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   103 |gT_Forc |100 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   104 |gS_Forc |100 |       |SMR     MR|g/kg/s          |Salinity forcing tendency
   105 |AB_gT   |100 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   106 |AB_gS   |100 |       |SMR     MR|g/kg/s          |Salinity tendency from Adams-Bashforth
   107 |gTinAB  |100 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   108 |gSinAB  |100 |       |SMR     MR|g/kg/s          |Salinity tendency going in Adams-Bashforth
   109 |AB_gU   |100 |   110 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   110 |AB_gV   |100 |   109 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   111 |ADVr_TH |100 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   112 |ADVx_TH |100 |   113 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   113 |ADVy_TH |100 |   112 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   114 |DFrE_TH |100 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   115 |DFxE_TH |100 |   116 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   116 |DFyE_TH |100 |   115 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   117 |DFrI_TH |100 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   118 |ADVr_SLT|100 |       |WM      LR|g/kg.m^3/s      |Vertical   Advective Flux of Salinity
   119 |ADVx_SLT|100 |   120 |UU      MR|g/kg.m^3/s      |Zonal      Advective Flux of Salinity
   120 |ADVy_SLT|100 |   119 |VV      MR|g/kg.m^3/s      |Meridional Advective Flux of Salinity
   121 |DFrE_SLT|100 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Explicit part)
   122 |DFxE_SLT|100 |   123 |UU      MR|g/kg.m^3/s      |Zonal      Diffusive Flux of Salinity
   123 |DFyE_SLT|100 |   122 |VV      MR|g/kg.m^3/s      |Meridional Diffusive Flux of Salinity
   124 |DFrI_SLT|100 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Implicit part)
   125 |SALTFILL|100 |       |SM      MR|g/kg.m^3/s      |Filling of Negative Values of Salinity
   126 |VISCAHZ |100 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   127 |VISCA4Z |100 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   128 |VISCAHD |100 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   129 |VISCA4D |100 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   130 |VISCAHW |100 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   131 |VISCA4W |100 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   132 |VAHZMAX |100 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   133 |VA4ZMAX |100 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   134 |VAHDMAX |100 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   135 |VA4DMAX |100 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   136 |VAHZMIN |100 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   137 |VA4ZMIN |100 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   138 |VAHDMIN |100 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   139 |VA4DMIN |100 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   140 |VAHZLTH |100 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   141 |VA4ZLTH |100 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   142 |VAHDLTH |100 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   143 |VA4DLTH |100 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   144 |VAHZLTHD|100 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   145 |VA4ZLTHD|100 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   146 |VAHDLTHD|100 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   147 |VA4DLTHD|100 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   148 |VAHZSMAG|100 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   149 |VA4ZSMAG|100 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   150 |VAHDSMAG|100 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   151 |VA4DSMAG|100 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   152 |momKE   |100 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   153 |momHDiv |100 |       |SMR     MR|1/s             |Horizontal Divergence (in momentum Eq.)
   154 |momVort3|100 |       |SZR     MR|1/s             |3rd component (vertical) of Vorticity
   155 |Strain  |100 |       |SZR     MR|1/s             |Horizontal Strain of Horizontal Velocities
   156 |Tension |100 |       |SMR     MR|1/s             |Horizontal Tension of Horizontal Velocities
   157 |Stretch |100 |       |SM      MR|1/s             |Vortex stretching from QG Leith dynamic viscosity
   158 |USidDrag|100 |   159 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   159 |VSidDrag|100 |   158 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   160 |Um_Diss |100 |   161 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   161 |Vm_Diss |100 |   160 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   162 |Um_ImplD|100 |   163 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   163 |Vm_ImplD|100 |   162 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   164 |Um_Advec|100 |   165 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   165 |Vm_Advec|100 |   164 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   166 |Um_Cori |100 |   167 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   167 |Vm_Cori |100 |   166 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   168 |Um_dPhiX|100 |   169 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   169 |Vm_dPhiY|100 |   168 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   170 |Um_Ext  |100 |   171 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   171 |Vm_Ext  |100 |   170 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   172 |Um_hDis2|100 |   173 |UUR     MR|m/s^2           |U momentum tendency from harmonic visc alone
   173 |Vm_hDis2|100 |   172 |VVR     MR|m/s^2           |V momentum tendency from harmonic visc alone
   174 |Um_hDis4|100 |   175 |UUR     MR|m/s^2           |U momentum tendency from biharmonic visc alone
   175 |Vm_hDis4|100 |   174 |VVR     MR|m/s^2           |V momentum tendency from biharmonic visc alone
   176 |Um_AdvZ3|100 |   177 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   177 |Vm_AdvZ3|100 |   176 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   178 |Um_AdvRe|100 |   179 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   179 |Vm_AdvRe|100 |   178 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   180 |Um_Metr |100 |   181 |UUR     MR|m/s^2           |U momentum tendency from Metric terms
   181 |Vm_Metr |100 |   180 |VVR     MR|m/s^2           |V momentum tendency from Metric terms
   182 |botTauX |  1 |   183 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   183 |botTauY |  1 |   182 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   184 |ADVx_Um |100 |   185 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   185 |ADVy_Um |100 |   184 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   186 |ADVrE_Um|100 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   187 |ADVx_Vm |100 |   188 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   188 |ADVy_Vm |100 |   187 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   189 |ADVrE_Vm|100 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   190 |VISCx_Um|100 |   191 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   191 |VISCy_Um|100 |   190 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   192 |VISrE_Um|100 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   193 |VISrI_Um|100 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   194 |VISCx_Vm|100 |   195 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   195 |VISCy_Vm|100 |   194 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   196 |VISrE_Vm|100 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   197 |VISrI_Vm|100 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   198 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   199 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   201 |EntDepth|  1 |       |SM P    M1|m               |Sub-Meso Entrainment Depth (he) (>0)
   202 |SubMesLf|  1 |       |SM P    M1|m               |Sub-Meso horiz. Length Scale (Lf)
   203 |SubMpsiX|  1 |   204 |UU      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): U component
   204 |SubMpsiY|  1 |   203 |VV      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): V component
   205 |GM_Kux  |100 |   206 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   206 |GM_Kvy  |100 |   205 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   207 |GM_Kuz  |100 |   208 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
   208 |GM_Kvz  |100 |   207 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   209 |GM_Kwx  |100 |   210 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   210 |GM_Kwy  |100 |   209 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   211 |GM_Kwz  |100 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   212 |GM_PsiX |100 |   213 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   213 |GM_PsiY |100 |   212 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   214 |GM_KuzTz|100 |   215 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   215 |GM_KvzTz|100 |   214 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   216 |GM_KwzTz|100 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   217 |GM_ubT  |100 |   218 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   218 |GM_vbT  |100 |   217 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   219 |GM_BVPcW|  1 |   220 |SU P    M1|m/s             |WKB wave speed (at Western edge location)
   220 |GM_BVPcS|  1 |   219 |SV P    M1|m/s             |WKB wave speed (at Southern edge location)
   221 |TRAC01  |100 |       |SMR     MR|kg/kg           |pt24 concentration
   222 |UTRAC01 |100 |   223 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of pt24
   223 |VTRAC01 |100 |   222 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of pt24
   224 |WTRAC01 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of pt24
   225 |ForcTr01|100 |       |SMR     MR|kg/kg/s         |pt24 forcing tendency
   226 |AB_gTr01|100 |       |SMR     MR|kg/kg/s         |pt24 tendency from Adams-Bashforth
   227 |Tp_gTr01|100 |       |SMR     MR|kg/kg/s         |pt24 total transport tendency (before gchem_forcing_sep)
   228 |ADVrTr01|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of pt24
   229 |ADVxTr01|100 |   230 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of pt24
   230 |ADVyTr01|100 |   229 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of pt24
   231 |DFrETr01|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt24 (Explicit part)
   232 |DFxETr01|100 |   233 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of pt24
   233 |DFyETr01|100 |   232 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of pt24
   234 |DFrITr01|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt24 (Implicit part)
   235 |TRAC02  |100 |       |SMR     MR|kg/kg           |pt25 concentration
   236 |UTRAC02 |100 |   237 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of pt25
   237 |VTRAC02 |100 |   236 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of pt25
   238 |WTRAC02 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of pt25
   239 |ForcTr02|100 |       |SMR     MR|kg/kg/s         |pt25 forcing tendency
   240 |AB_gTr02|100 |       |SMR     MR|kg/kg/s         |pt25 tendency from Adams-Bashforth
   241 |Tp_gTr02|100 |       |SMR     MR|kg/kg/s         |pt25 total transport tendency (before gchem_forcing_sep)
   242 |ADVrTr02|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of pt25
   243 |ADVxTr02|100 |   244 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of pt25
   244 |ADVyTr02|100 |   243 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of pt25
   245 |DFrETr02|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt25 (Explicit part)
   246 |DFxETr02|100 |   247 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of pt25
   247 |DFyETr02|100 |   246 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of pt25
   248 |DFrITr02|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt25 (Implicit part)
   249 |TRAC03  |100 |       |SMR     MR|kg/kg           |pt34 concentration
   250 |UTRAC03 |100 |   251 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of pt34
   251 |VTRAC03 |100 |   250 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of pt34
   252 |WTRAC03 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of pt34
   253 |ForcTr03|100 |       |SMR     MR|kg/kg/s         |pt34 forcing tendency
   254 |AB_gTr03|100 |       |SMR     MR|kg/kg/s         |pt34 tendency from Adams-Bashforth
   255 |Tp_gTr03|100 |       |SMR     MR|kg/kg/s         |pt34 total transport tendency (before gchem_forcing_sep)
   256 |ADVrTr03|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of pt34
   257 |ADVxTr03|100 |   258 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of pt34
