 Total Nb of available Diagnostics: ndiagt=   423
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   258 |WTRAC04 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of pt35
   259 |ForcTr04|100 |       |SMR     MR|kg/kg/s         |pt35 forcing tendency
   260 |AB_gTr04|100 |       |SMR     MR|kg/kg/s         |pt35 tendency from Adams-Bashforth
   261 |Tp_gTr04|100 |       |SMR     MR|kg/kg/s         |pt35 total transport tendency (before gchem_forcing_sep)
   262 |ADVrTr04|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of pt35
   263 |ADVxTr04|100 |   264 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of pt35
   264 |ADVyTr04|100 |   263 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of pt35
   265 |DFrETr04|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt35 (Explicit part)
   266 |DFxETr04|100 |   267 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of pt35
   267 |DFyETr04|100 |   266 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of pt35
   268 |DFrITr04|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt35 (Implicit part)
   269 |TRAC05  |100 |       |SMR     MR|kg/kg           |pt37 concentration
   270 |UTRAC05 |100 |   271 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of pt37
   271 |VTRAC05 |100 |   270 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of pt37
   272 |WTRAC05 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of pt37
   273 |ForcTr05|100 |       |SMR     MR|kg/kg/s         |pt37 forcing tendency
   274 |AB_gTr05|100 |       |SMR     MR|kg/kg/s         |pt37 tendency from Adams-Bashforth
   275 |Tp_gTr05|100 |       |SMR     MR|kg/kg/s         |pt37 total transport tendency (before gchem_forcing_sep)
   276 |ADVrTr05|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of pt37
   277 |ADVxTr05|100 |   278 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of pt37
   278 |ADVyTr05|100 |   277 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of pt37
   279 |DFrETr05|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt37 (Explicit part)
   280 |DFxETr05|100 |   281 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of pt37
   281 |DFyETr05|100 |   280 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of pt37
   282 |DFrITr05|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt37 (Implicit part)
   283 |TRAC06  |100 |       |SMR     MR|kg/kg           |Tracer 0006 concentration
   284 |UTRAC06 |100 |   285 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0006
   285 |VTRAC06 |100 |   284 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0006
   286 |WTRAC06 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0006
   287 |ForcTr06|100 |       |SMR     MR|kg/kg/s         |Tracer 0006 forcing tendency
   288 |AB_gTr06|100 |       |SMR     MR|kg/kg/s         |Tracer 0006 tendency from Adams-Bashforth
   289 |Tp_gTr06|100 |       |SMR     MR|kg/kg/s         |Tracer 0006 total transport tendency (before gchem_forcing_sep)
   290 |ADVrTr06|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0006
   291 |ADVxTr06|100 |   292 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0006
   292 |ADVyTr06|100 |   291 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0006
   293 |DFrETr06|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0006 (Explicit part)
   294 |DFxETr06|100 |   295 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0006
   295 |DFyETr06|100 |   294 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0006
   296 |DFrITr06|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0006 (Implicit part)
   297 |TRAC07  |100 |       |SMR     MR|kg/kg           |Tracer 0007 concentration
   298 |UTRAC07 |100 |   299 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0007
   299 |VTRAC07 |100 |   298 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0007
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   300 |WTRAC07 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0007
   301 |ForcTr07|100 |       |SMR     MR|kg/kg/s         |Tracer 0007 forcing tendency
   302 |AB_gTr07|100 |       |SMR     MR|kg/kg/s         |Tracer 0007 tendency from Adams-Bashforth
   303 |Tp_gTr07|100 |       |SMR     MR|kg/kg/s         |Tracer 0007 total transport tendency (before gchem_forcing_sep)
   304 |ADVrTr07|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0007
   305 |ADVxTr07|100 |   306 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0007
   306 |ADVyTr07|100 |   305 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0007
   307 |DFrETr07|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0007 (Explicit part)
   308 |DFxETr07|100 |   309 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0007
   309 |DFyETr07|100 |   308 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0007
   310 |DFrITr07|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0007 (Implicit part)
   311 |TRAC08  |100 |       |SMR     MR|kg/kg           |Tracer 0008 concentration
   312 |UTRAC08 |100 |   313 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0008
   313 |VTRAC08 |100 |   312 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0008
   314 |WTRAC08 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0008
   315 |ForcTr08|100 |       |SMR     MR|kg/kg/s         |Tracer 0008 forcing tendency
   316 |AB_gTr08|100 |       |SMR     MR|kg/kg/s         |Tracer 0008 tendency from Adams-Bashforth
   317 |Tp_gTr08|100 |       |SMR     MR|kg/kg/s         |Tracer 0008 total transport tendency (before gchem_forcing_sep)
   318 |ADVrTr08|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0008
   319 |ADVxTr08|100 |   320 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0008
   320 |ADVyTr08|100 |   319 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0008
   321 |DFrETr08|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0008 (Explicit part)
   322 |DFxETr08|100 |   323 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0008
   323 |DFyETr08|100 |   322 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0008
   324 |DFrITr08|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0008 (Implicit part)
   325 |TRAC09  |100 |       |SMR     MR|kg/kg           |Tracer 0009 concentration
   326 |UTRAC09 |100 |   327 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0009
   327 |VTRAC09 |100 |   326 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0009
   328 |WTRAC09 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0009
   329 |ForcTr09|100 |       |SMR     MR|kg/kg/s         |Tracer 0009 forcing tendency
   330 |AB_gTr09|100 |       |SMR     MR|kg/kg/s         |Tracer 0009 tendency from Adams-Bashforth
   331 |Tp_gTr09|100 |       |SMR     MR|kg/kg/s         |Tracer 0009 total transport tendency (before gchem_forcing_sep)
   332 |ADVrTr09|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0009
   333 |ADVxTr09|100 |   334 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0009
   334 |ADVyTr09|100 |   333 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0009
   335 |DFrETr09|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0009 (Explicit part)
   336 |DFxETr09|100 |   337 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0009
   337 |DFyETr09|100 |   336 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0009
   338 |DFrITr09|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0009 (Implicit part)
   339 |TRAC10  |100 |       |SMR     MR|kg/kg           |Tracer 0010 concentration
   340 |UTRAC10 |100 |   341 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0010
   341 |VTRAC10 |100 |   340 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0010
   342 |WTRAC10 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0010
   343 |ForcTr10|100 |       |SMR     MR|kg/kg/s         |Tracer 0010 forcing tendency
   344 |AB_gTr10|100 |       |SMR     MR|kg/kg/s         |Tracer 0010 tendency from Adams-Bashforth
   345 |Tp_gTr10|100 |       |SMR     MR|kg/kg/s         |Tracer 0010 total transport tendency (before gchem_forcing_sep)
   346 |ADVrTr10|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0010
   347 |ADVxTr10|100 |   348 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0010
   348 |ADVyTr10|100 |   347 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0010
   349 |DFrETr10|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0010 (Explicit part)
   350 |DFxETr10|100 |   351 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0010
   351 |DFyETr10|100 |   350 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0010
   352 |DFrITr10|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0010 (Implicit part)
   353 |TRAC11  |100 |       |SMR     MR|kg/kg           |Tracer 0011 concentration
   354 |UTRAC11 |100 |   355 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0011
   355 |VTRAC11 |100 |   354 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0011
   356 |WTRAC11 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0011
   357 |ForcTr11|100 |       |SMR     MR|kg/kg/s         |Tracer 0011 forcing tendency
   358 |AB_gTr11|100 |       |SMR     MR|kg/kg/s         |Tracer 0011 tendency from Adams-Bashforth
   359 |Tp_gTr11|100 |       |SMR     MR|kg/kg/s         |Tracer 0011 total transport tendency (before gchem_forcing_sep)
   360 |ADVrTr11|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0011
   361 |ADVxTr11|100 |   362 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0011
   362 |ADVyTr11|100 |   361 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0011
   363 |DFrETr11|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0011 (Explicit part)
   364 |DFxETr11|100 |   365 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0011
   365 |DFyETr11|100 |   364 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0011
   366 |DFrITr11|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0011 (Implicit part)
   367 |TRAC12  |100 |       |SMR     MR|kg/kg           |Tracer 0012 concentration
   368 |UTRAC12 |100 |   369 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0012
   369 |VTRAC12 |100 |   368 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0012
   370 |WTRAC12 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0012
   371 |ForcTr12|100 |       |SMR     MR|kg/kg/s         |Tracer 0012 forcing tendency
   372 |AB_gTr12|100 |       |SMR     MR|kg/kg/s         |Tracer 0012 tendency from Adams-Bashforth
   373 |Tp_gTr12|100 |       |SMR     MR|kg/kg/s         |Tracer 0012 total transport tendency (before gchem_forcing_sep)
   374 |ADVrTr12|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0012
   375 |ADVxTr12|100 |   376 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0012
   376 |ADVyTr12|100 |   375 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0012
   377 |DFrETr12|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0012 (Explicit part)
   378 |DFxETr12|100 |   379 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0012
   379 |DFyETr12|100 |   378 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0012
   380 |DFrITr12|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0012 (Implicit part)
   381 |TRAC13  |100 |       |SMR     MR|kg/kg           |Tracer 0013 concentration
   382 |UTRAC13 |100 |   383 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0013
   383 |VTRAC13 |100 |   382 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0013
   384 |WTRAC13 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0013
   385 |ForcTr13|100 |       |SMR     MR|kg/kg/s         |Tracer 0013 forcing tendency
   386 |AB_gTr13|100 |       |SMR     MR|kg/kg/s         |Tracer 0013 tendency from Adams-Bashforth
   387 |Tp_gTr13|100 |       |SMR     MR|kg/kg/s         |Tracer 0013 total transport tendency (before gchem_forcing_sep)
   388 |ADVrTr13|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0013
   389 |ADVxTr13|100 |   390 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0013
   390 |ADVyTr13|100 |   389 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0013
   391 |DFrETr13|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0013 (Explicit part)
   392 |DFxETr13|100 |   393 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0013
   393 |DFyETr13|100 |   392 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0013
   394 |DFrITr13|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0013 (Implicit part)
   395 |TRAC14  |100 |       |SMR     MR|kg/kg           |Tracer 0014 concentration
   396 |UTRAC14 |100 |   397 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0014
   397 |VTRAC14 |100 |   396 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0014
   398 |WTRAC14 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0014
   399 |ForcTr14|100 |       |SMR     MR|kg/kg/s         |Tracer 0014 forcing tendency
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   400 |AB_gTr14|100 |       |SMR     MR|kg/kg/s         |Tracer 0014 tendency from Adams-Bashforth
   401 |Tp_gTr14|100 |       |SMR     MR|kg/kg/s         |Tracer 0014 total transport tendency (before gchem_forcing_sep)
   402 |ADVrTr14|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0014
   403 |ADVxTr14|100 |   404 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0014
   404 |ADVyTr14|100 |   403 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0014
   405 |DFrETr14|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0014 (Explicit part)
   406 |DFxETr14|100 |   407 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0014
   407 |DFyETr14|100 |   406 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0014
   408 |DFrITr14|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0014 (Implicit part)
   409 |TRAC15  |100 |       |SMR     MR|kg/kg           |Tracer 0015 concentration
   410 |UTRAC15 |100 |   411 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0015
   411 |VTRAC15 |100 |   410 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0015
   412 |WTRAC15 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0015
   413 |ForcTr15|100 |       |SMR     MR|kg/kg/s         |Tracer 0015 forcing tendency
   414 |AB_gTr15|100 |       |SMR     MR|kg/kg/s         |Tracer 0015 tendency from Adams-Bashforth
   415 |Tp_gTr15|100 |       |SMR     MR|kg/kg/s         |Tracer 0015 total transport tendency (before gchem_forcing_sep)
   416 |ADVrTr15|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0015
   417 |ADVxTr15|100 |   418 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0015
   418 |ADVyTr15|100 |   417 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0015
   419 |DFrETr15|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0015 (Explicit part)
   420 |DFxETr15|100 |   421 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0015
   421 |DFyETr15|100 |   420 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0015
   422 |DFrITr15|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0015 (Implicit part)
   423 |Add2EmP |  1 |       |SM      U1|kg/m^2/s        |additional EmP from salt relaxation
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
